<p>ξ</p>",605,0,0,0130,53,IDR,1,infokus-projector-in126a,INFOCUS Projector IN126A,"<p>WXGA(1280x800), Rasio Kontras 15000, SP-LAMP-086 </p>","<table class=""spesifications"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Sistem Projector</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">Technology DLP&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Resolusi Native</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">WXGA(1280x800)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Kontras</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">15000&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Aspek</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4:3&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Tipe Lampu</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">SP-LAMP-086&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Input</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">DMI 1.4, VGA x 2, Composite video, S-Video, 3.5 mm, stereo in x 2, 3.5mm stereo out, RS232C, USB Type B (control &amp; firmware)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kesesuaian Video</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">NTSC / NTSC4.43 / PAL / PAL-M / PAL-N / SECAM, SDTV (480i, 576i), EDTV (480p, 576p), HDTV (720p, 1080i, 1080p)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Daya / Power</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">260W&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Dimensi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">8.7in x 11.5in x 4.3in (220mm x 292mm x 108mm)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Lain-lain</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Lumens (Eco/High): 5000/3500&nbsp;&nbsp;</li>
<li>3D: Supports 3D content from Blu-ray, cable boxes, dish services and more (over HDMI) at 144Hz and PC-based, 3D content at 120Hz. DLP Link 3D glasses required.&nbsp;&nbsp;</li>
<li>Closed Captioning: Yes&nbsp;&nbsp;</li>
<li>Audible Noise (Eco/High, dBA): 29/30&nbsp;&nbsp;</li>
<li>Keystone: &plusmn; 40&ordm;&nbsp;&nbsp;</li>
<li>Lamp Hours (Eco/High): 6000/5000&nbsp;&nbsp;</li>
<li>Image Offset: 15&nbsp;&nbsp;</li>
<li>Throw Ratio: 2.2~1.9&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
</tbody>
</table>",9132000,0,0,0131,53,IDR,1,infokus-projector-in1110,INFOCUS Projector IN1110,"<p>XGA (1024 x 768), WUXGA (1920 x 1200), ANSI 2100 Lumens, 2600:1</p>","<table class=""spesifications"" style=""width: 100%;"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Sistem Projector</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">DLP Technology&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Resolusi Native</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">XGA (1024 x 768)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Maks. Resolusi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">WUXGA (1920 x 1200)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Brightness</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">ANSI 2100 Lumens&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Kontras</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2600:1&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Aspek</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4:3
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>5:4, 16:9, 16:10 (Supported Aspect Ratio)&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Ukuran Gambar</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">1.1:1&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Input</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Lamp Hours (Eco) : 4000 Hours&nbsp;&nbsp;</li>
<li>Lamp Hours (High) : 3000 Hours&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
